一二三四五六日	Mon Tue Wed Thu Fri Sat Sun
一次弄明白	Get started in a few steps
一键备车	Prepare car
一键找车	Find car
上一步	Previous
上一轮结果尚未确认	Previous result is not confirmed
上次位置	Last location
上次刷新未完成	Last refresh did not finish
上次备车	Last preparation
上次备车详情	Last preparation details
上次操作中断	Previous operation interrupted
上次测量	Last measured
上次记录	Last reported
上次车温	Last cabin temperature
下一次需重新导入	Import again next time
下一步	Next
下一目标	Next target
下一程	Your next trip
下次停车恢复自动守护	Auto guard resumes at the next stop
下次停车重新判断守护	Recheck guard at the next stop
下次出发	Next departure
下次备车目标	Next preparation target
下次自动恢复	Resumes next time
下次里程增长可补充识别行程	A later odometer increase can identify the next trip
下车后尽快检查	Check soon after leaving the car
不代表具备控制权限	Does not establish control permission
不代表原厂漆色的精确色差	Not an exact factory paint match
不代表每项数据都单独在此时采样	Individual readings may have different sample times
不会保存	Will not be saved
不会把查询时间替代车辆采样时间	Query time never replaces the vehicle sample time
不会用车温冒充设定值	Cabin temperature is not the AC setpoint
不会重新发送	Will not resend
不使用手机位置代替车辆	Phone location is not used as the car location
不包含登录凭据	No login credentials included
不包含账号	No account details included
不发送空调	Do not send AC commands
不展示位置	Hide location
不循环响铃	No repeated honking
不把它当作关闭	Unknown does not mean off
不用于识别车辆	Not used to identify the vehicle
不申请定位	Does not request location
不能作为本车权限验证	Cannot verify this vehicle's permissions
不能据此显示	Cannot show
不能据此认定不支持	Does not establish lack of support
不能据此认定无权限	Does not establish lack of permission
不补发过时备车	Do not run missed preparation jobs
不要把密钥或密码发到聊天	Do not send keys or passwords in chat
不采用旧查询	Older queries are ignored
不采用较早的停车状态	Older parking reports are ignored
不重复发送	Do not send again
不需要手动输入坐标	No manual coordinates needed
不需要每次输入密码	No need to enter your password each time
不需要私人服务器	No private server required
与	and
且两次至少间隔	with at least
且间隔至少	with an interval of at least
两前排	Both front seats
个可读	readable
个字符	characters
个字符的地址	characters in the address
个本机录像	local recordings
临时配置未能清除	Could not clear temporary configuration
为	is
为上次记录	last reported
为什么执行	Why it ran
也不代表当前车辆状态	Does not establish the current vehicle state
也不会触发离家守护	Will not trigger away guard
也可以直接下一步	You can also continue
也未据此扩大或推断权限	No additional permissions inferred
亮黄	Bright yellow
仅左前座椅	Front left seat only
仅表示接口提供的分组	The API grouping only
仍受电池优化	Still subject to battery optimisation
仍可搜索地址或使用车辆位置	You can search an address or use the vehicle location
仍需位置	Location is still required
仍需核对是否为车辆采样时间	Vehicle sampling time still needs verification
令牌	Token
以后优先恢复会话	Saved sessions are restored on later launches
以车辆位置和停车记录决定守护	Guard uses vehicle location and parking evidence
优先复用会话	Reuse the saved session first
会自动恢复	Restores automatically
会话凭据格式无效	Invalid session credentials
会话恢复未完成	Session restore incomplete
会话有效	Session valid
会话设备格式无效	Invalid session device
会话配置格式无效	Invalid session configuration
会话需重新验证	Session needs verification
但加密保存会话失败	Could not save the encrypted session
但加密保存失败	Encrypted save failed
但重开	On reopening
位置过期时显示上次记录	Show last known location when stale
位置须可信	A reliable location is required
使用下一个该时刻	Use the next occurrence
使用当前车辆位置	Use current vehicle location
使用手机当前位置	Use phone location
使用此颜色	Use this colour
使用车辆上次上报的位置	Use the last reported vehicle location
例如	For example
供电脑核对	For local diagnostics
保存	Save
保存不会启动车辆	Saving does not start the car
保存偏好不会发送指令	Saving preferences does not send commands
保存偏好不会启动备车	Saving preferences does not start preparation
保存偏好不会启动车辆	Saving preferences does not start the car
保存后生效	Takes effect after saving
保存备注	Save note
保存备车偏好	Save preparation preferences
保存外观	Save appearance
保存失败	Save failed
保存家的位置与范围	Save home and radius
保存的登录状态未能完整删除	Saved login could not be fully removed
保存预约	Save schedule
保持哨兵当前状态	Keep the current sentry state
保持登录	Stay signed in
保留上次温度	Keep last temperature
保留上次记录	Keep last reading
保留可用记录	Keep available readings
保留备车	Keep preparation
保留本次停车选择	Keep this stop's choice
修改	Edit
修改下次备车偏好	Change next preparation preferences
修改预约	Edit schedule
值未知或超出校验范围	Unknown or out-of-range value
偏冷时选择加热	Use heating when cold
偏热时选择通风	Use ventilation when hot
停机以回读为准	Confirm stopping from vehicle feedback
停止本轮检查	Stop this check
停止请求	Stop requesting
停用	Disable
停车位置与家	Location and home
停车守护	Parking guard
停车行程复查	Parking trip recheck
允许任务通知	Allow task notifications
允许定时权限后才能安排执行	Scheduling requires alarm permission
允许按需开启	Allow when needed
允许范围与运行时长	Allowed features and duration
允许闹钟与提醒	Allow alarms and reminders
充电上限	Charge limit
充电与电量	Charging and battery
充电功率	Charging power
充电口	Charge port
充电口关	Port closed
充电口和更多车况	Charge port and more vehicle details
充电口已上报打开	Vehicle reports charge port open
充电口开	Port open
充电口控制	Charge port controls
充电电压	Charging voltage
充电电流	Charging current
充电遥测	Charging telemetry
充电遥测及现有预约	Charging telemetry and saved schedules
充电预约	Charge schedule
先准备连接	Set up connection first
先导入本机提取的协议	First import the locally extracted protocol
先核实上次备车	Check the previous preparation first
先设置并核对家的位置	Set and verify home first
先读取车温	Read cabin temperature first
全选	Select all
全部正常	All normal
公钥	Public key
共享账号	Shared account
关闭	Off
关闭充电口	Close charge port
关闭原厂哨兵	Turn factory sentry off
关闭后	When off
关闭哨兵	Turn sentry off
关闭空调	Turn AC off
关闭自定义车牌	Hide custom plate
关闭请求尚未发送	Off request not sent yet
关闭车窗	Close windows
其他偏好和预约不受影响	Other preferences and schedules are unchanged
内保存的文字仍保留	Saved text is kept
内容为空	Content is empty
内容待本车核对	Verify content on this vehicle
再决定备车时是否允许座椅通风或加热	Then allow seat heating or ventilation as needed
再按本次偏好备车	Then use the current preparation preferences
再按需要启用停车守护或预约用车	Then enable parking guard or departure schedules as needed
再检查本车	Then check this vehicle
再次打开应用会恢复调度	Opening the app restores scheduling
再用获得授权的极氪账号登录并选择车辆	Then sign in with your authorised Zeekr account and select the vehicle
再设置它的外观	Then set its appearance
再选择允许的舒适功能	Then choose allowed comfort features
再选择打开或关闭	Then choose open or close
出发前读取车温	Read cabin temperature before departure
出发时间	Departure time
出发计划	Departure plan
出发预约	Departure schedule
分	min
分钟	minutes
分钟内	minutes ago
分钟再次核对位置与驻车	minutes before rechecking location and parking
分钟及当前舒适偏好	minutes and current comfort preferences
分钟安排查询	minutes between scheduled queries
分钟检查	minutes between checks
分钟的两次查询均确认已驻车	minutes apart both confirm parking
切到后台会取消未发送目标	Unsent targets are cancelled when the app goes to the background
切换到它后才能操作	Select that vehicle before controlling it
切换到此车辆后操作	Select this vehicle before controlling it
切换座椅档位	Change seat level
切换账号请先退出	Sign out before switching accounts
刚刷新不等于新车况	A new query does not mean new vehicle data
删除	Delete
删除本机连接配置与会话	Remove local configuration and session
到	to
到家不会自动关闭	Sentry stays on after arriving home
到家关闭	Turn off at home
到家关闭已启用	Home shutoff enabled
到家关闭由上方独立开关控制	Home shutoff has its own switch above
到家关闭等待有效位置	Home shutoff needs a valid location
到家再次确认	Confirm arrival again
到家待确认	Arrival awaiting confirmation
到家自动关闭哨兵	Turn sentry off after arriving home
到家自动关闭已停用	Home shutoff disabled
到家自动关闭未启用	Home shutoff not enabled
刷新	Refresh
刷新不会把旧数据变成实时	Refreshing does not make old data live
刷新图标读取车况	Use refresh to read vehicle status
刷新座椅与空调状态	Refresh seats and AC
刷新未能启动	Could not start refresh
刷新车辆位置	Refresh vehicle location
刷新车辆状态	Refresh vehicle status
包含共享车辆	Includes shared vehicles
匹配中	Matching
匹配地址或使用当前位置	Find an address or use current location
区	region
单位待本车核对	Verify units on this vehicle
卡片	Widget
卡片会保留数据时间	The widget keeps the data timestamp
卡片刷新	Widget refresh
卡片操作	Widget action
卡片显示实际回传状态	The widget shows reported vehicle states
卡片显示进度和数据时间	The widget shows progress and data time
卡片设置未能保存	Could not save widget settings
即使存在字段	Even if a field exists
原厂	Factory
原厂哨兵	Factory sentry
原厂哨兵与停车守护	Sentry and parking guard
原厂已驻车	Factory status: parked
原厂驻车状态	Factory parking status
原因待核对	Reason needs checking
原生出发预约	Native departure schedule
原设置已保留	Previous settings kept
去连接车辆	Connect vehicle
发现里程增长	Odometer increased
发送一次鸣笛请求	Send one horn request
发送原厂尾门解锁或锁定请求	Send a factory tailgate lock or unlock request
发送已中断	Sending interrupted
取消	Cancel
取消尚未发送的目标	Cancel unsent targets
取消未发送的目标	Cancel pending targets
受理后需在原厂	After acceptance, check in the factory
只导入文件	Import the file only
只有观察到本次停车中哨兵由开变关才能识别	Detection requires observing sentry change from on to off during this stop
只看到定位变化	Only a location change was observed
只证明读取端点可达	Only proves the read endpoint is reachable
只读自检	Read-only check
可以三项全选	All three can be allowed
可以先浏览其他功能	You can explore other features first
可以改用地址搜索	Try address search instead
可以查看识别范围	You can review the home radius
可以用手机当前位置设为家	You can set home from the phone location
可以直接下一步	Continue to the next step
可以稍后点	You can do this later
可先核对协议配置	Check the protocol configuration first
可刷新车况	Refresh vehicle status
可回到本车	Return to this vehicle
可在应用结束	End it in the app
可操作	Available to control
可查看	Available to view
可点右上角重试	Tap the top-right button to retry
可能尚未设置	May not be configured yet
可能需要重新登录	Sign-in may be required again
可调整为不限制	You can choose Unrestricted
可选	Optional
右上角箭头打开应用	The top-right arrow opens the app
右前座椅	Front right seat
右前座椅加热	Front right seat heating
号	number
号码只用于本助手展示	Plate text is only displayed in this assistant
各项状态保留各自采样时间	Each reading retains its own sample time
